2025-08-19 15:42:23,151 | INFO | TestAddItemToCart | test_add_item_to_cart | 16 | ********** Test Session Started. **********
2025-08-19 15:42:23,153 | INFO | TestAddItemToCart | test_add_item_to_cart | 19 | Driver Setup Successful.
2025-08-19 15:42:23,153 | INFO | TestAddItemToCart | test_add_item_to_cart | 20 | Test Run on Driver --> <selenium.webdriver.chrome.webdriver.WebDriver (session="6dec9ea15d99cb7254d2f89ab785beae")>
2025-08-19 15:42:24,049 | INFO | TestAddItemToCart | test_add_item_to_cart | 22 | Clicked on Login Button Link and navigate to Login Page.
2025-08-19 15:42:24,375 | INFO | TestAddItemToCart | test_add_item_to_cart | 24 | Entered Name in Name Text Box. --> david_shearing@yahoomail.com
2025-08-19 15:42:24,678 | INFO | TestAddItemToCart | test_add_item_to_cart | 26 | Entered Password in Password Text Box. --> $lA6(3Bg1#vI!uzFE
2025-08-19 15:42:26,935 | INFO | TestAddItemToCart | test_add_item_to_cart | 28 | Clicked on Login Button.
2025-08-19 15:42:27,949 | INFO | TestAddItemToCart | test_add_item_to_cart | 32 | Item Selected.
2025-08-19 15:42:29,251 | INFO | TestAddItemToCart | test_add_item_to_cart | 34 | Item Added To Cart.
2025-08-19 15:42:29,503 | INFO | TestAddItemToCart | test_add_item_to_cart | 37 | Entered info If block.
2025-08-19 15:42:29,503 | INFO | TestAddItemToCart | test_add_item_to_cart | 38 | Item Added Successfully.
2025-08-19 15:42:30,544 | INFO | TestAddItemToCart | test_add_item_to_cart | 40 | Captured Screenshot.
2025-08-19 15:42:31,224 | INFO | TestAddItemToCart | test_add_item_to_cart | 42 | Clicked on Continue Shopping Button.
2025-08-19 15:42:31,384 | INFO | TestAddItemToCart | test_add_item_to_cart | 44 | Clicked on Logout Dropdown Button.
2025-08-19 15:42:32,684 | INFO | TestAddItemToCart | test_add_item_to_cart | 46 | Clicked on Logout Button.
2025-08-19 15:42:32,684 | INFO | TestAddItemToCart | test_add_item_to_cart | 47 | Test "Add Item To Cart" Passed.
2025-08-19 15:42:32,685 | INFO | TestAddItemToCart | test_add_item_to_cart | 57 | ========== Test Session Finished. ==========
2025-08-19 15:42:41,388 | INFO | TestAddItemToWishlist | test_add_item_to_wishlist | 16 | ********** Test Session Started. **********
2025-08-19 15:42:41,388 | INFO | TestAddItemToWishlist | test_add_item_to_wishlist | 19 | Driver Setup Successful.
2025-08-19 15:42:41,388 | INFO | TestAddItemToWishlist | test_add_item_to_wishlist | 20 | Test Run on Driver --> <selenium.webdriver.chrome.webdriver.WebDriver (session="2c81ce08b101cf20b4b122ba0f4352fa")>
2025-08-19 15:42:43,039 | INFO | TestAddItemToWishlist | test_add_item_to_wishlist | 22 | Clicked on Login Button Link and navigate to Login Page.
2025-08-19 15:42:43,808 | INFO | TestAddItemToWishlist | test_add_item_to_wishlist | 24 | Entered Name in Name Text Box. --> david_shearing@yahoomail.com
2025-08-19 15:42:44,380 | INFO | TestAddItemToWishlist | test_add_item_to_wishlist | 26 | Entered Password in Password Text Box. --> $lA6(3Bg1#vI!uzFE
2025-08-19 15:42:46,136 | INFO | TestAddItemToWishlist | test_add_item_to_wishlist | 28 | Clicked on Login Button.
2025-08-19 15:42:46,919 | INFO | TestAddItemToWishlist | test_add_item_to_wishlist | 32 | Item Selected.
2025-08-19 15:42:47,805 | INFO | TestAddItemToWishlist | test_add_item_to_wishlist | 36 | Item was Added to Wishlist.
2025-08-19 15:42:47,875 | INFO | TestAddItemToWishlist | test_add_item_to_wishlist | 39 | Entered info If block.
2025-08-19 15:42:47,875 | INFO | TestAddItemToWishlist | test_add_item_to_wishlist | 40 | Item Added Wishlist Successfully.
2025-08-19 15:42:48,099 | INFO | TestAddItemToWishlist | test_add_item_to_wishlist | 42 | Captured Screenshot.
2025-08-19 15:42:48,234 | INFO | TestAddItemToWishlist | test_add_item_to_wishlist | 44 | Clicked on Logout Dropdown Button.
2025-08-19 15:42:48,389 | INFO | TestAddItemToWishlist | test_add_item_to_wishlist | 46 | Clicked on Logout Button.
2025-08-19 15:42:48,390 | INFO | TestAddItemToWishlist | test_add_item_to_wishlist | 47 | Test "Add Item To Wishlist" Passed.
2025-08-19 15:42:48,391 | INFO | TestAddItemToWishlist | test_add_item_to_wishlist | 57 | ========== Test Session Finished. ==========
